Name_ID,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Kennel Location,Scrape Date,age_numeric,Weight_num,Name,ID,location_simple,kennel_name,kennel_num,side,Days_at_shelter,result
COOKIE (A1232487),Female,Pit Bull Terrier,8 months old,Dog,31 pounds,2024-12-05,FOSTER,2024-12-08,0.6666666666666666,31.0,COOKIE,1232487,Foster,FOSTER,,,3,Looking for Furever Home
DUNCAN (A1233292),Male,Labrador Retriever,,Dog,33 pounds,2024-12-04,FOSTER,2024-12-08,,33.0,DUNCAN,1233292,Foster,FOSTER,,,4,Looking for Furever Home
HENRY (A1235841),Male,Breed information is not provided by this shelter,"1 year, 2 months old",Dog,68 pounds,2024-12-04,TOOMEYD18,2024-12-08,1.0,68.0,HENRY,1235841,Toomey,TOOMEYD,18,,4,Looking for Furever Home
RAZZY (A1235310),Female,Pit Bull Terrier,"2 years, 2 months old",Dog,38 pounds,2024-12-04,LST 11L,2024-12-08,2.0,38.0,RAZZY,1235310,Byrum,LST ,11,L,4,Looking for Furever Home
ELSIE (A1234451),Female,Pit Bull Terrier,3 years old,Dog,43 pounds,2024-12-04,LST 07R,2024-12-08,3.0,43.0,ELSIE,1234451,Byrum,LST ,07,R,4,Looking for Furever Home
FAIRFIELD (A1234882),Male,Pit Bull Terrier,"2 years, 2 months old",Dog,55 pounds,2024-12-04,FOSTER,2024-12-08,2.0,55.0,FAIRFIELD,1234882,Foster,FOSTER,,,4,Looking for Furever Home
PANTHER (A1229288),Male,Pit Bull Terrier,5 years old,Dog,47 pounds,2024-12-04,FOSTER,2024-12-08,5.0,47.0,PANTHER,1229288,Foster,FOSTER,,,4,Looking for Furever Home
DARLA MAE (A1229459),Female,Pit Bull Terrier,7 years old,Dog,38 pounds,2024-12-04,FOSTER,2024-12-08,7.0,38.0,DARLA MAE,1229459,Foster,FOSTER,,,4,Looking for Furever Home
A1236954,Female,Pit Bull Terrier,7 months old,Dog,39 pounds,2024-12-04,FOSTER,2024-12-08,0.5833333333333334,39.0,,1236954,Foster,FOSTER,,,4,Looking for Furever Home
HAZEL (A1236066),Female,Pit Bull Terrier,3 years old,Dog,40 pounds,2024-12-04,FOSTER,2024-12-08,3.0,40.0,HAZEL,1236066,Foster,FOSTER,,,4,Looking for Furever Home
HUNTER (A1235927),Male,Pit Bull Terrier,7 years old,Dog,53 pounds,2024-12-04,ADOPT 02L,2024-12-08,7.0,53.0,HUNTER,1235927,Byrum,ADOPT ,02,L,4,Looking for Furever Home
A1237237,Male,Pit Bull Terrier mix,,Dog,52 pounds,2024-12-04,LST 10L,2024-12-08,,52.0,,1237237,Byrum,LST ,10,L,4,Looking for Furever Home
A1237238,Male,Pit Bull Terrier,4 years old,Dog,52 pounds,2024-12-04,LST 36L,2024-12-08,4.0,52.0,,1237238,Byrum,LST ,36,L,4,Looking for Furever Home
A1237244,Male,Pit Bull Terrier,,Dog,33 pounds,2024-12-04,ADPTPUP2L,2024-12-08,,33.0,,1237244,Byrum,ADPTPUP,2,L,4,Looking for Furever Home
A1237250,Female,Siberian Husky,,Dog,52 pounds,2024-12-04,LST 20L,2024-12-08,,52.0,,1237250,Byrum,LST ,20,L,4,Looking for Furever Home
WYATT (A1237255),Male,Cavalier King Charles Spaniel mix,2 years,Dog,14 pounds,2024-12-04,FOSTER,2024-12-08,2.0,14.0,WYATT,1237255,Foster,FOSTER,,,4,Looking for Furever Home
A1237205,Male,Pit Bull Terrier,,Dog,63 pounds,2024-12-03,LST 02L,2024-12-08,,63.0,,1237205,Byrum,LST ,02,L,5,Looking for Furever Home
A1237211,Female,Pit Bull Terrier,,Dog,41 pounds,2024-12-03,LST 04R,2024-12-08,,41.0,,1237211,Byrum,LST ,04,R,5,Looking for Furever Home
A1237221,Male,Pit Bull Terrier,3 years old,Dog,41 pounds,2024-12-03,LST 26R,2024-12-08,3.0,41.0,,1237221,Byrum,LST ,26,R,5,Looking for Furever Home
MUSAK (A1237163),Male,Pit Bull Terrier,5 months old,Dog,35 pounds,2024-12-02,FOSTER,2024-12-08,0.4166666666666667,35.0,MUSAK,1237163,Foster,FOSTER,,,6,Looking for Furever Home
A1237173,Male,Pit Bull Terrier,,Dog,56 pounds,2024-12-02,ADPTPUP8L,2024-12-08,,56.0,,1237173,Byrum,ADPTPUP,8,L,6,Looking for Furever Home
A1237174,Male,English Coonhound (Redtick Coonhound) mix,,Dog,43 pounds,2024-12-02,ADPTPUP10L,2024-12-08,,43.0,,1237174,Byrum,ADPTPUP,10,L,6,Looking for Furever Home
CAPTAIN (A1237145),Male,Rottweiler and German Shepherd Dog,3 years old,Dog,66 pounds,2024-12-02,LST 03R,2024-12-08,3.0,66.0,CAPTAIN,1237145,Byrum,LST ,03,R,6,Looking for Furever Home
ACE (A1237150),Male,Pit Bull Terrier and Boxer,1 year,Dog,40 pounds,2024-12-02,TOOMEYD23,2024-12-08,1.0,40.0,ACE,1237150,Toomey,TOOMEYD,23,,6,Looking for Furever Home
INKY (A1237151),Female,Catahoula Leopard Hound and Australian Cattle Dog,6 months old,Dog,33 pounds,2024-12-02,FOSTER,2024-12-08,0.5,33.0,INKY,1237151,Foster,FOSTER,,,6,Looking for Furever Home
A1237152,Male,American Bully,,Dog,63 pounds,2024-12-02,LST 08R,2024-12-08,,63.0,,1237152,Byrum,LST ,08,R,6,Looking for Furever Home
GRISELDA (A1237154),Female,Pit Bull Terrier,5 months old,Dog,41 pounds,2024-12-02,LST 33R,2024-12-08,0.4166666666666667,41.0,GRISELDA,1237154,Byrum,LST ,33,R,6,Looking for Furever Home
EMMA (A1237155),Female,Pit Bull Terrier,,Dog,40 pounds,2024-12-02,ADPTPUP3R,2024-12-08,,40.0,EMMA,1237155,Byrum,ADPTPUP,3,R,6,Looking for Furever Home
